ANALYSIS	GT_FREEBAYES	GT_GATK	GT_SAMTOOLS	GT_VARDICT	GT_VARSCAN	JOINT_COMB	JOINT_INDIV	JOINT_2ORMORE	JOINT_3ORMORE	JOINT_4ORMORE	JOINT_5ORMORE
True Positives	52.0	59.0	50.0	91.0	87.0	90.0	91.0	91.0	59.0	52.0	45.0
True Negatives	1120.0	1121.0	1123.0	1037.0	81.0	1116.0	1109.0	1109.0	1121.0	1122.0	1130.0
False Positives	130.0	129.0	127.0	213.0	1169.0	134.0	141.0	141.0	129.0	128.0	120.0
False Negatives	40.0	33.0	42.0	1.0	5.0	2.0	1.0	1.0	33.0	40.0	47.0
True Positive Rate	0.5652173913043478	0.6413043478260869	0.5434782608695652	0.9891304347826086	0.9456521739130435	0.9782608695652174	0.9891304347826086	0.9891304347826086	0.6413043478260869	0.5652173913043478	0.4891304347826087
True Negative Rate	0.896	0.8968	0.8984	0.8296	0.0648	0.8928	0.8872	0.8872	0.8968	0.8976	0.904
Positive Predictive Value	0.2857142857142857	0.31382978723404253	0.2824858757062147	0.2993421052631579	0.06926751592356688	0.4017857142857143	0.3922413793103448	0.3922413793103448	0.31382978723404253	0.28888888888888886	0.2727272727272727
Negative Predictive Value	0.9655172413793104	0.9714038128249567	0.9639484978540772	0.9990366088631984	0.9418604651162791	0.998211091234347	0.9990990990990991	0.9990990990990991	0.9714038128249567	0.9655765920826161	0.9600679694137638
False Negative Rate	0.43478260869565216	0.358695652173913	0.45652173913043476	0.010869565217391304	0.05434782608695652	0.021739130434782608	0.010869565217391304	0.010869565217391304	0.358695652173913	0.43478260869565216	0.5108695652173914
False Positive Rate	0.104	0.1032	0.1016	0.1704	0.9352	0.1072	0.1128	0.1128	0.1032	0.1024	0.096
False Discovery Rate	0.7142857142857143	0.6861702127659575	0.7175141242937854	0.7006578947368421	0.9307324840764332	0.5982142857142857	0.6077586206896551	0.6077586206896551	0.6861702127659575	0.7111111111111111	0.7272727272727273
False Omission Rate	0.034482758620689655	0.02859618717504333	0.036051502145922745	0.0009633911368015414	0.05813953488372093	0.0017889087656529517	0.0009009009009009009	0.0009009009009009009	0.02859618717504333	0.03442340791738382	0.03993203058623619
Accuracy	0.8733233979135618	0.879284649776453	0.8740685543964233	0.8405365126676602	0.12518628912071536	0.8986587183308494	0.8941877794336811	0.8941877794336811	0.879284649776453	0.8748137108792846	0.875558867362146
Matthews Correlation Coefficient	0.34040027840693077	0.39177217912689344	0.32999089746128235	0.49425877265512186	0.010784785261168637	0.5902724500089884	0.5856138417016644	0.5856138417016644	0.39177217912689344	0.34317786944999545	0.30252089970484414
